Institución Padre,Dirección,Comuna,Región,Coordenadas Geográficas,Rubro de gasto,Periodo,Gasto
DIRECCION GENERAL DE GENDARMERIA DE CHIL,,Alto Hospicio,Región de Tarapacá  ,"0,0",CP ALTO HOSPICIO/PAPEL MULTIPROPOSITO PARA IMPRESION Orden de Compra generada por invitación a compra ágil: 1407-52-COT24,Agosto/2024,628500
HOSPITAL COMPLEJO ASISTENCIAL PADRE LAS CASAS,"RUTA 194, KM 0,7 LOCALIDAD MAQUEHUE S/N",Padre Las Casas,Región de la Araucanía ,"-38.76739775,-72.61636680788058",PAPEL FOTOCOPIA CARTA STOCK BODEGA GENERAL SEGUN PROGRAMACION MENSUAL ,Agosto/2024,5122950
I MUNICIPALIDAD DE CANETE,ARTURO PRAT 220 ,Cañete,Región del Biobío ,"-37.79972,-73.3991188",ADQUISICIÓN DE RESMAS CARTA Y OFICIO PARA ESCUELA G-829- FONDOS SEP 90%,Agosto/2024,753270
I MUNICIPALIDAD DE LA COMUNA DE EL BOSQUE,JAVIERA CARRERA 736,El Bosque,Región Metropolitana de Santiago,"-33.5566265,-70.66570109640884",PAGO SERV. DE IMPRESIÓN Y FOTOCOPIADO.,Agosto/2024,6561843
I MUNICIPALIDAD DE LA COMUNA DE EL BOSQUE,JAVIERA CARRERA 736,El Bosque,Región Metropolitana de Santiago,"-33.5566265,-70.66570109640884",PAGO SERV. DE IMPRESIÓN Y FOTOCOPIADO SALUD,Agosto/2024,2531825
I MUNICIPALIDAD DE LA UNION,,La Unión,Región de Los Ríos,"-40.2947882,-73.0829831009254","ADQUISICIÓN RESMAS DE PAPEL FOTOCOPIA TAMAÑO CARTA Y OFICIO Y CARTULINAS PARA ESCUELA PUERTO NUEVO ORD. N°141 FONDOS SEP, PROVENIENTE DE COTIZACIÓN ÁGIL 3335-967-COT24",Agosto/2024,634008
I MUNICIPALIDAD DE MAULE,,Maule,Región del Maule ,"-35.5243911,-71.6919823",RESMAS TAMAÑO CARTA Y OFICIO,Agosto/2024,822112
I MUNICIPALIDAD DE MOSTAZAL,LUCO 400,Mostazal,Región del Libertador General Bernardo O´Higgins,"-33.98006625,-70.71155859430769",RESMAS CARTA,Agosto/2024,2083452
I MUNICIPALIDAD DE NINHUE,Arturo Prat 405,* ,Región del Ñuble,"-36.3926895,-72.39926491627112",PAPEL OFICIO,Agosto/2024,268845
I MUNICIPALIDAD DE OSORNO,,Osorno,Región de los Lagos ,"-40.5746591,-73.1358139","ADQUISICION RESMAS PAPEL OFICIO PARA ESCUELA RURAL FORRAHUE, FONDOS SEP. Orden de Compra generada por invitación a compra ágil: 2306-1037-COT24",Agosto/2024,196826
I MUNICIPALIDAD DE PADRE HURTADO,Despacho Único: Camino San Alberto Hurtado 3295 ,Padre Hurtado,Región Metropolitana de Santiago,"-33.5777754,-70.8245551",Resmas Oficio. S.C 3416,Agosto/2024,1525580
I MUNICIPALIDAD DE PADRE LAS CASAS,,Padre Las Casas,Región de la Araucanía ,"-38.77338615,-72.59711090989668",ADQ. PAPEL DE IMPRESIÓN Y PILAS PARA ESC. COLPANAO (FDOS. SEP),Agosto/2024,855848
I MUNICIPALIDAD DE TALCA,DIRECCION COMUNAL DE EDUCACION MUNICIPAL 4 ORIENTE N°	1280 TALCA,Talca,Región del Maule ,"-35.4257615,-71.66543442233423",PAPEL IMPRESION ESCUELA BASICA TALCA // SEP // Orden de Compra: 2294-1615-CM24,Agosto/2024,7530320
I MUNICIPALIDAD ESTACION CENTRAL,,Estación Central,Región Metropolitana de Santiago,"-33.45433035,-70.68969016202331",S.M. 391 RESMAS TAMAÑO OFICIO Y CARTA- COMPAS METALICO E-53 ESCUELA ARNALDO FALABELLA   compra ágil: 1195999-341-COT24,Agosto/2024,322312
Ilustre Municipalidad de Yerbas Buenas,,Yerbas Buenas,Región del Maule ,"-35.7477097,-71.5828535",RESMAS DE PAPEL PARA EL LICEO JUAN GOMEZ MILLAS,Agosto/2024,537214
Municipalidad de Huechuraba,Premio Nobel  5555,Huechuraba,Región Metropolitana de Santiago,"-33.36016185,-70.68678089682511",Resmas para impresión establecimientos educacionales de Huechuraba. ,Agosto/2024,3298740
SERV SALUD METROPOLITANO CENTRAL HOSPITAL CLINICO SAN BORJA ARRIARAN,Santa Rosa 1234,Santiago,Región Metropolitana de Santiago,"14.3146042,121.1137466",JLL CONTRATACION DIRECTA SERVICIO DE IMPRESIÓN FOTOCOPIADO Y SERVICIOS ASOCIADOS PARA EL HOSPITAL CLÍNICO SAN BORJA ARRIARÁN RESOL. EXENTA N° 1978 09.08.24/ INT. 1238/2024 ORDEN DE COMPRA INICIAL DE CONTRATO. ,Agosto/2024,1
SERVICIO DE SALUD SUR HOSPITAL EXEQUIEL,Gran Avenida Jose Miguel Carrera Nº3300,San Miguel,Región Metropolitana de Santiago,"0,0",Resmas tamaño carta y oficio,Agosto/2024,813484
CORP MUNICIPAL DE SERVICIOS Y DESARROLLO,Av. Pajaritos N° 2756 (Administración Central Codeduc),Maipú,Región Metropolitana de Santiago,"0,0","SC-51114, 51115/SEP/RESMAS TAMAÑO OFICIO/LICEO BICENTENARIO DE NIÑAS/JFM.",Agosto/2024,2997194
I MUNICIPALIDAD DE CURICO,,Curicó,Región del Maule ,"-34.98554105,-71.23854218545901",82676  RESMA CARTA Y OFICIO COLEGIO GABRIELA MISTRAL DE CURICÒ   por invitación a compra ágil: 2440-1167-COT24,Agosto/2024,253214
I MUNICIPALIDAD DE INDEPENDENCIA,INDEPENDENCIA 753,Independencia,Región Metropolitana de Santiago,"-33.4223596,-70.6550988",150 RESMAS TAMAÑO OFICIO 300 RESMA TAMAÑO CARTA ,Agosto/2024,1673616
I MUNICIPALIDAD DE LA COMUNA DE EL BOSQUE,JAVIERA CARRERA 736,El Bosque,Región Metropolitana de Santiago,"-33.5566265,-70.66570109640884",PAGO SERV. DE IMPRESIÓN Y FOTOCOPIADO EDUCACIÓN,Agosto/2024,455887
I MUNICIPALIDAD DE LA UNION,Arturo Prat 680,La Unión,Región de Los Ríos,"-40.2947882,-73.0829831009254",RESMAS DE PAPEL PARA STOCK MUNICIPA / 60125,Agosto/2024,1127525
I MUNICIPALIDAD DE LA UNION,Cayetano Letelier  N° 589,La Unión,Región de Los Ríos,"-40.2947882,-73.0829831009254","ADQUISICIÓN DE RESMAS DE OFICIO Y CARTA PARA LICEO RECTOR ABDÓN ANDRADE COLOMA ORD. N°310, LEY SEP",Agosto/2024,2301460
I MUNICIPALIDAD DE LOS ALAMOS DEPTO COMUNAL,Luis Saez Mora 509,* ,Región del Biobío ,"-37.6266115,-73.4609456",PAPEL FOTOCOPIA,Agosto/2024,1108485
I MUNICIPALIDAD DE LOS LAGOS,San Martin  1,Los Lagos,Región de Los Ríos,"-39.86322795,-72.81662579578243",Compra Resmas Papel / Escuela Nueva España.,Agosto/2024,3527160
I MUNICIPALIDAD DE LOS LAGOS,,Los Lagos,Región de Los Ríos,"-39.86322795,-72.81662579578243",Compra Resmas Papel / Escuela Nueva España.,Agosto/2024,563584
I MUNICIPALIDAD DE LOTA,,Lota,Región del Biobío ,"-37.09436645,-73.15542601551155"," RESMA CARTA, ESPACIOS AMIGABLES, SOLICITUD 199",Agosto/2024,330820
I MUNICIPALIDAD DE PADRE LAS CASAS,Ramberga 760 ,Padre Las Casas,Región de la Araucanía ,"-38.77338615,-72.59711090989668",ADQ. PAPEL DE IMPRESIÓN PARA ESC.TRUF TRUF (FDOS. PIE),Agosto/2024,755888
I MUNICIPALIDAD DE PANGUIPULLI,,Panguipulli,Región de Los Ríos,"-39.641611,-72.3323027","ADQUISICIÓN DE PAPEL FOTOCOPIA A3, COMPRA AGIL: 3568-727-COT24",Agosto/2024,108956
I MUNICIPALIDAD DE QUINTERO,Calle Arturo Prat N° 1960 ,Quintero,Región de Valparaíso ,"-32.785385,-71.5276923",RESMAS OFICIO Y CARTA PARA COLEGIO VALLE DE NARAU - PIE,Agosto/2024,807772
I MUNICIPALIDAD DE RENAICO,,Renaico,Región de la Araucanía ,"-37.67150815,-72.58412355846157","HOJAS DE IMPRESION TAMAÑO CARTA Y OFICIO, PARA ESCUELA LOS NOGALES.",Agosto/2024,356762
I MUNICIPALIDAD DE VALPARAISO,,Valparaíso,Región de Valparaíso ,"-33.051604749999996,-71.60283796993087"," Adquisición de papel fotocopia Prog. Atención Inicial, Dirección de Genero ",Agosto/2024,73899
I MUNICIPALIDAD ESTACION CENTRAL,,Estación Central,Región Metropolitana de Santiago,"-33.45433035,-70.68969016202331",S.M. 453 RESMA PAPEL FOTOCOPIA MULTIPROPOSITO TAMAÑO CARTA D-277 ESCUELA ESTADO DE PALESTINA compra ágil: 1195999-401-COT24,Agosto/2024,837198
SERVICIO DE SALUD ANTOFAGASTA HOSP C CIS,"AVDA GRAU 1490, CALAMA",Calama,Región de Antofagasta ,"0,0",RESMAS DE CARTA2215-2099-CM24,Agosto/2024,4686220
SERVICIO DE SALUD VINA DEL MAR QUILLOTA,LA CONCEPCION 1050,,,"-33.04779205,-71.35903278381922",RESMAS OFICIO Y CARTA Orden de Compra: 1704-3928-CM24,Agosto/2024,3653716
SERVICIO ELECTORAL,Sin dirección Registrada para Unidad de Compra,Santiago,Región Metropolitana de Santiago,"-35.4263146,-71.66314927659991","870 - Adquisición de resmas de papel oficio blanco a utilizar en Elecciones Generales de Gobernadores Regionales, Consejeros Regionales, Alcaldes y Concejales 2024 (UD_18/LP/501-910/2403001/423/ORC)",Agosto/2024,695848
SERVICIO LOCAL DE EDUCACION PÚBLICA DE ATACAMA,Chañarcillo 550,Copiapó,Región de Atacama ,"-29.083333,-70.133333",MSA/P02 SEO RBD-405 ESCUELA LOS ESTANDARTES-ADQUISICION DE RESMAS DE PAPEL/ORD.23.-,Agosto/2024,3598560
UNIVERSIDAD DE CHILE,DR. CARLOS LORCA 999,Independencia,Región Metropolitana de Santiago,"-33.443867,-70.6506654",CML_PAPEL FOTOCOPIA OFICIO_5153-1818-CM24,Agosto/2024,4587450
UNIVERSIDAD DE CHILE,,Santiago,Región Metropolitana de Santiago,"-33.443867,-70.6506654",Resmas de papel,Agosto/2024,314160
UNIVERSIDAD DE CHILE,,Santiago,Región Metropolitana de Santiago,"-33.443867,-70.6506654",Compra ágil: 5537-133-COT24 Resmas de papel tamaño carta,Agosto/2024,772012
UNIVERSIDAD DE LOS LAGOS,Los Carrera 678 Castro,Castro,Región de los Lagos ,"-41.4704541,-72.94264941439984",RESMAS DE PAPEL SEDE CHILOÉ,Agosto/2024,1003063
UNIVERSIDAD DE TALCA,,Talca,Región del Maule ,"-35.405594050000005,-71.63474176574374", 2-30325 PAPEL RESMA CARTA: 1469-2515-COT24,Agosto/2024,89857
DIRECCION DE LOGISTICA DE CARABINEROS,,Copiapó,Región de Atacama ,"0,0","ADQUISICION DE PAPEL DE IMPRESION PARA LA SECCIÓN O.S.7 ""ATACAMA""",Septiembre/2024,104363
I MUNICIPALIDAD DE ARICA,AV. RENATO ROCCA 1585 - Región de Arica y Parinacota,Arica,Región de Arica y Parinacota,"-18.47991335,-70.31855005393707","ADQ. RESMAS DE PAPEL OFICIO, ORD N° 1195 Y 130 TERCER JUZGADO DE POLICIA LOCAL, MZJ, IMA",Septiembre/2024,1125264
I MUNICIPALIDAD DE CALERA DE TANGO,,Calera De Tango,Región Metropolitana de Santiago,"-33.6306199,-70.76159311969573",COMPRA DE RESMA OFICIO Y CARTA Orden de Compra generada por invitación a compra ágil: 3658-497-COT24,Septiembre/2024,170560
I MUNICIPALIDAD DE CANETE,ARTURO PRAT 220 ,Cañete,Región del Biobío ,"-37.79972,-73.3991188","ADQUISICIÓN DE RESMAS DE OFICIO Y CARTA (100 DE CADA UNA), ORD. N° 112, ESC. F-818, FONDOS SEP 90%",Septiembre/2024,831453
I MUNICIPALIDAD DE CHILLAN,,Chillán,Región del Ñuble,"-36.60600385,-72.10426068496827",HOJAS CARTA Y OFICIO PARA CESFAM ISABEL RIQUELME  compra ágil: 1069417-1019-COT24,Septiembre/2024,759101
I MUNICIPALIDAD DE CONCEPCION,,Concepción,Región del Biobío ,"-36.82808775,-73.05147131226269",ADQUISICION RESMA DE PAPEL CA: 2416-199-COT24 TALLERES LABORALES- MEMO N°487,Septiembre/2024,697352
I MUNICIPALIDAD DE CURICO,,Curicó,Región del Maule ,"-34.98554105,-71.23854218545901",81725 RESMAS DE PAPEL CARTA Y OFICIO LICEO POLITÉCNICO CURICÓ por invitación a compra ágil: 2440-1258-COT24,Septiembre/2024,1071119
I MUNICIPALIDAD DE HIJUELAS,,Hijuelas,Región de Valparaíso ,"-32.801099050000005,-71.14444190643727",Orden de Compra generada por invitación a compra ágil: 3777-90-COT24/ SE REQUIERE LA ADQUISICION DE PAPEL FOTOCOPIA PARA UNIDAD TECNICA PEDAGOGICA COMUNAL ,Septiembre/2024,140301
I MUNICIPALIDAD DE LA UNION,,La Unión,Región de Los Ríos,"-40.2947882,-73.0829831009254", RESMAS DE PAPEL Y TINTAS ORIGINALES PARA ESCUELA RURAL CATAMUTÚN ORD. N°24 LEY SEP - Orden de Compra generada por invitación a compra ágil: 3335-1012-COT24,Septiembre/2024,514128
I MUNICIPALIDAD DE LA UNION,,La Unión,Región de Los Ríos,"-40.2947882,-73.0829831009254", RESMAS TAMAÑO OFICIO Y CARTA PARA D.A.E.M. LA UNIÓN ORD. N°848 10% ADM. SEP Orden de Compra generada por invitación a compra ágil: 3335-1031-COT24,Septiembre/2024,596458
I MUNICIPALIDAD DE LA UNION,Cayetano Letelier  N° 589,La Unión,Región de Los Ríos,"-40.2947882,-73.0829831009254","RESMAS OFICIO , CARTA Y CORCHETES 26/6 PARA ESCUELA EL MAITEN ORD. N°86 LEY S.E.P. Orden de Compra: 3335-1361-CM24",Septiembre/2024,4065397
I MUNICIPALIDAD DE LINARES,,Linares,Región del Maule ,"-35.5953791,-71.73159",PAPEL CARTA OP 573,Septiembre/2024,1497615
I MUNICIPALIDAD DE LINARES,,Linares,Región del Maule ,"-35.5953791,-71.73159",PAPEL OFICIO OP 574,Septiembre/2024,1632204
I MUNICIPALIDAD DE LOS ANGELES,CAUPOLICAN 399,Los Angeles,Región del Biobío ,"-37.47112635,-72.35064063866517",ADQUISICION RESMAS TAMAÑO CARTA Y OFICIO ESCUELA D-870 ,Septiembre/2024,6400000
I MUNICIPALIDAD DE MEJILLONES,,Mejillones,Región de Antofagasta ,"-23.10059675,-70.45249002490712",Resmas de papel Esc. MAEB,Septiembre/2024,430505
I MUNICIPALIDAD DE PENCO,O'Higgins # 500,Penco,Región del Biobío ,"-36.739382250000006,-72.99285203159288",PAPEL FOTOCOPIA CARTA Y OFICIO (P725) Orden de Compra: 4494-693-CM24,Septiembre/2024,743274
I MUNICIPALIDAD DE SAN JAVIER,,San Javier,Región del Maule ,"-35.5953791,-71.73159","Orden de Compra generada por invitación a compra ágil: 2321-348-COT24,Adquisición de resmas de oficio y carta para ser usadas por personal DAEM San Javier. ",Septiembre/2024,295000
I MUNICIPALIDAD DE SAN NICOLAS,ARTURO PRAT 175,* ,Región del Ñuble,"-36.5031992,-72.2132577",RESMAS PARA FOTOCOPIADORAS DEL LICEO POLIVALENTE SAN NICOLÁS,Septiembre/2024,2874445
I MUNICIPALIDAD DE SAN NICOLAS,ARTURO PRAT 175,* ,Región del Ñuble,"-36.5031992,-72.2132577","RESMAS PARA FOTOCOPIADORAS DEL LICEO TÉCNICO PUENTE ÑUBLE, COMUNA DE SAN NICOLÁS",Septiembre/2024,839842
I MUNICIPALIDAD DE SANTA CRUZ,Plaza de Armas Nº 242,Santa Cruz,Región del Libertador General Bernardo O´Higgins,"-34.6396483,-71.3658759","Servicio de fotocopias, impresiones y scanner",Septiembre/2024,654500
I MUNICIPALIDAD DE TALCA,DIRECCION COMUNAL DE EDUCACION MUNICIPAL 4 ORIENTE N°	1280 TALCA,,,"-35.4257615,-71.66543442233423",PAPEL IMPRESION LICEO BICENTENARIO ORIENTE // SEP // Orden de Compra: 2294-1709-CM24,Septiembre/2024,2127125
I MUNICIPALIDAD DE TALCA,,Talca,Región del Maule ,"-35.4257615,-71.66543442233423","NP 6 REMUNERACIONES, ADQ. DE RESM,AS DE PAPEL TAMAÑO CARTA Y OFICIO, DESPACHO EDIFICIO 1 SUR ENTRE 2 Y 3 ORIENTE, IMPUTACION A 1P1 215-22-04-009, Orden de Compra generada por invitación a compra ágil: 2291-1419-COT24",Septiembre/2024,77477
I MUNICIPALIDAD DE TALCAHUANO,DAEM TALCAHUANO TONGOY 220 HIGUERAS,Talcahuano,Región del Biobío ,"-36.71502995,-73.11464648527709","RESMAS PAPEL, PARA DIEZ ESTABLECIMIENTOS DE LA COMUNA DE TALCAHUANO",Septiembre/2024,15496043
I MUNICIPALIDAD DE VICUNA,Chacabuco 502 ,Vicuña,Región de Coquimbo ,"-30.0335973,-70.7135638",ADQUISICIÓN DE PAPEL DE IMPRESIÓN CARTA Y OFICIO PARA ESCUELA JOAQUIN VICUÑA LARRAIN(FAEP2023),Septiembre/2024,1143287
I MUNICIPALIDAD DE VILLARRICA,Pedro de Valdivia 810,,,"-39.2834528,-72.22640737221154",Resmas de oficio y carta ,Septiembre/2024,2627639
I MUNICIPALIDAD ESTACION CENTRAL,,Estación Central,Región Metropolitana de Santiago,"-33.45433035,-70.68969016202331",SM 515 - RESMAS OFICIO - ESCUELA REPUBLCA FRANCIA - D258 - COMPRA AGIL: 1195999-446-COT24,Septiembre/2024,729946
I MUNICIPALIDAD ESTACION CENTRAL,,Estación Central,Región Metropolitana de Santiago,"-33.45433035,-70.68969016202331",S.M 532 PAPEL FOTOCOPIA TAMAÑO CARTA-PAPEL FOTOGRAFICO A4 A-71 LICEO BICENTENARIO GUILLERMO FELIU CRUZ compra ágil: 1195999-466-COT24,Septiembre/2024,1330670
I MUNICIPALIDAD PEDRO AGUIRRE CERDA, Entregar Artículo en Paseo Grohnert  # 5510 PAC. (Casa de la Cultura),Pedro Aguirre Cerda,Región Metropolitana de Santiago,"-33.4882382,-70.66398334128455","(Sol. Ped. 1017) Resmas de papel tamaño oficio y carta, Dirección de Salud, Orden de Compra: 2395-1190-CM24",Septiembre/2024,2233035
I MUNICIPALIDAD SAN JOAQUIN,Avenida Santa Rosa Nº 2606 ,San Joaquín,Región Metropolitana de Santiago,"-33.4791679,-70.64129747160456",SERVICIO DE FOTOCOPIADO IMPRESIÓN Y SCANNER,Septiembre/2024,16945600
ILUSTRE MUNICIPALIDAD DE COLBUN,,Colbún,Región del Maule ,"-35.6969121,-71.4017404",RESMAS DE PAPEL PROGRAMA INTEGRACIÓN ESC. F-533 PANIMÁVIDA,Septiembre/2024,204632
Ilustre Municipalidad de Galvarino,INDEPENDENCIA 90	,Galvarino,Región de la Araucanía ,"-38.41501835,-72.7812024217987",RESMA DE PAPEL CARTA Y OFICIO ESCUELA RIO QUILLEM,Septiembre/2024,769692
ILUSTRE MUNICIPALIDAD DE MACHALI,Calle Miranda N°420,Machalí,Región del Libertador General Bernardo O´Higgins,"-34.1826662,-70.65064599572574",RESMA OFICIO PARA DEPARTAMENTO DE SALUD MACHALI ,Septiembre/2024,855015
Ilustre Municipalidad de Quirihue,Esmeralda	698,Quirihue,Región del Ñuble,"-36.282706399999995,-72.5396935462742","Tintas, tóner y resmas de papel",Septiembre/2024,6928900
MINISTERIO DE OBRAS PUBLICAS DIREC CION GRAL DE OO PP DCYF,"Bulnes 897, pisos 9 y 10",Temuco,Región de la Araucanía ,"0,0",ADRIAN ULLOA - SERV. FOTOCOPIAS Y IMPRESIONES,Septiembre/2024,34541
MINISTERIO PUBLICO,LOS MILITARES Nº 5550,Las Condes,Región Metropolitana de Santiago,"14.63783445,-90.51331443051151",Compra resmas papel carta,Septiembre/2024,1560447
MINISTERIO PUBLICO,LOS MILITARES Nº 5550,Las Condes,Región Metropolitana de Santiago,"14.63783445,-90.51331443051151",Compra resmas papel oficio,Septiembre/2024,1967784
MUNICIPALIDAD DE HUALPEN,	PATRIA NUEVA 1035 - Región del Biobío - Hualpén,,,"-36.79237955,-73.0995497379248",Papel Fotocopia: 4152-1134-CM24,Septiembre/2024,1894432
SERVICIO DE SALUD COQUIMBO HOSPITAL LA SERENA,Bienes y Servicios,La Serena,Región de Coquimbo ,"-27.48322,-58.8244122",RESMAS CARTA Y OFICIO,Septiembre/2024,6091943
SERVICIO DE SALUD METROPOLITANA NORTE HOSPITAL SAN JOSE,,Independencia,Región Metropolitana de Santiago,"0,0","PAC/ MENOR A 30 UTM. SE SOLICITA COD. 103-6700 PAPEL FOTOCOPIA OFICIO RESMA 500,  1549-5762-COT24",Septiembre/2024,911421
SERVICIO DE SALUD OCCIDENTE HOSPITAL SAN JUAN DE DIOS,HUERFANOS 3255 ,Santiago,Región Metropolitana de Santiago,"0,0",amv/ PAPEL FOTOCOPIA Orden de Compra: 1641-11544-CM24,Septiembre/2024,2008780
SERVICIO DE SALUD SUR HOSPITAL EXEQUIEL,Gran Avenida Jose Miguel Carrera Nº3300,San Miguel,Región Metropolitana de Santiago,"0,0",Resmas tamaño carta y oficio,Septiembre/2024,1046248
SERVICIO DE VIVIENDA Y URBANIZACION III REGION,"CHACABUCO 520, PISO 3",Copiapó,Región de Atacama ,"10.4162576,-75.464294",adq de resmas papel oficio,Septiembre/2024,902603
SERVICIO SALUD ARAUCANIA SUR HOSPIT DR EDUARDO GONZALEZ GALENO CUNCO,"Av. Santa María 31, Cunco",Cunco,Región de la Araucanía ,"-38.9308932,-72.03759384425837",SERVICIO DE IMPRESIÓN Y FOTOCOPIADO,Septiembre/2024,29
UNIVERSIDAD DE CHILE,,Independencia,Región Metropolitana de Santiago,"-33.443867,-70.6506654",CML_PAPEL FOTOCOPIA 1/2 CARTA RESMA 1000 HJ.(STOCK)P3_5153-1726-COT24,Septiembre/2024,1675520
UNIVERSIDAD DE CHILE,"Avda. Beauchef 851, Edificio Norte, 6to piso",Santiago,Región Metropolitana de Santiago,"-33.443867,-70.6506654","OC: 5526-47-CM24, por compra de Papel Impresión Tamaño Carta",Septiembre/2024,956403
UNIVERSIDAD DE CHILE,Diagonal Paraguay 257,* ,Región Metropolitana de Santiago,"-33.443867,-70.6506654","RE.577.23L2 Servicio de folletería, papelería e impresion",Septiembre/2024,5345218
UNIVERSIDAD DE TALCA,,Talca,Región del Maule ,"-35.405594050000005,-71.63474176574374",2-30451 PAPEL RESMA CARTA: 1469-2674-COT24,Septiembre/2024,211344
Biblioteca del Congreso Nacional,"HUERFANOS 1117, 2º PISO, OFICINA 207",,,"-33.4385638,-70.653325",Papel Carta - Oficio: 2020-363-CM24,Septiembre/2024,1499043
CONTRALORIA GENERAL DE LA REPUBLICA,,Santiago,Región Metropolitana de Santiago,"-33.44312995,-70.65488283461741",Adquisición resmas de papel CR Los Lagos,Septiembre/2024,371042
DIRECCION DE LOGISTICA DE CARABINEROS,RUTA 5 NORTE KM 2086,Arica,Región de Arica y Parinacota,"0,0",ADQUISICION DE RESMAS DE HOJAS TAMAÑO OFICIO Orden de Compra: 1079596-274-CM24,Septiembre/2024,1899430
DIRECCION GENERAL DE GENDARMERIA DE CHIL,Vicuña Mackenna N° 5065,San Miguel,Región Metropolitana de Santiago,"-18.4785963,-70.3095693",C.P.F SAN MIGUEL ADQ. DE RESMAS DE OFICIO Y OTROS ARTICULOS. ,Septiembre/2024,1599860
DIRECCION GENERAL DE GENDARMERIA DE CHIL,Vicuña Mackenna N° 5065,San Joaquín,Región Metropolitana de Santiago,"-18.4785963,-70.3095693",Resmas Tamaño Oficio y Carta C.D.P. Santiago Uno,Septiembre/2024,1765389
I MUNICIPALIDAD DE CATEMU,BORJA GARCIA HUIDOBRO N° 25,Catemu,Región de Valparaíso ,"-32.7787138,-70.9630788",RESMA TAMAÑO OFICIO PARA USO OFICINAS MUNICIPALES,Septiembre/2024,664434
I MUNICIPALIDAD DE CORONEL,,Coronel,Región del Biobío ,"-37.0294737,-73.14622918699935","Escuela ""Francia"" Resmas Equalit Carta y",Septiembre/2024,1139544
I MUNICIPALIDAD DE LA COMUNA DE EL BOSQUE,JAVIERA CARRERA 736,* ,Región Metropolitana de Santiago,"-33.5566265,-70.66570109640884",PAGO SERV. DE IMPRESIÓN Y FOTOCOPIADO EDUCACIÓN,Septiembre/2024,32771
I MUNICIPALIDAD DE LAUTARO,OHIGGINS Nº 1096,Lautaro,Región de la Araucanía ,"-38.5338143,-72.43578123564073",RESMAS DE PAPEL PARA CESFAM (1675),Septiembre/2024,3728032
I MUNICIPALIDAD DE LOS LAGOS,San Martin  1,Los Lagos,Región de Los Ríos,"-39.86322795,-72.81662579578243",Compra Resmas Papel / Liceo Alberto Blest Gana.,Septiembre/2024,5179594
I MUNICIPALIDAD VALDIVIA,,Valdivia,Región de Los Ríos,"-39.812843099999995,-73.24694851875219"," 11, SP.97666, SEP, COLEGIO DEPORTIVO, ADQ. RESMAS PAPEL TAMAÑO CARTA Y OFICIO.   Orden de Compra generada por invitación a compra ágil: 2280-1411-COT24",Septiembre/2024,299105
I MUNICIPALIDAD VALDIVIA,,Valdivia,Región de Los Ríos,"-39.812843099999995,-73.24694851875219"," 2 SP 98194, SEP, ESCUELA LAS ÁNIMAS, ADQUISICIÓN RESMAS DE PAPEL Orden de Compra generada por invitación a compra ágil: 2280-1407-COT24",Septiembre/2024,464100
ILUSTRE MUNICIPALIDAD DE ALTO DEL CARMEN,,Alto Del Carmen,Región de Atacama ,"-28.7598561,-70.4865589367034","RESMAS CARTA, OFICIO, CARTUCHOS DE TINTAS ORIGINALES Y OTROS",Septiembre/2024,715345
Ilustre Municipalidad de Cabo de Hornos,,Cabo de Hornos,Región de Magallanes y de la Antártica,"-54.934946350000004,-67.60371568606402",Adquirir 80 resmas papel tamaño oficio y 20 resmas tamaño carta,Septiembre/2024,388000
MUNICIPALIDAD DE LOS ANDES,ESMERALDA N° 536 LOS ANDES,Los Andes,Región de Valparaíso ,"-32.8326502,-70.60025439691098",PAPEL OFICIO Y CARTA,Septiembre/2024,3603915
SERVICIO DE REGISTRO CIVIL E IDENTIFICACION,Huerfanos 1570 - PISO 2. Santiago Centro,Santiago,Región Metropolitana de Santiago,"-33.438788,-70.66147054127686",Resmas de tamaño Carta y oficio con entrega parcializada  hasta marzo 2025.,Septiembre/2024,51313752
SERVICIO NACIONAL DE GEOLOGIA Y MINERIA,,La Serena,Región de Coquimbo ,"-33.434923600000005,-70.6327965690962",Resmas de papel ecologico carta,Septiembre/2024,163744
UNIVERSIDAD DE MAGALLANES,Avenida Bulnes 01855,Punta Arenas,Región de Magallanes y de la Antártica,"-53.1368696,-70.8816928","Compra de Suministro de papel oficio y carta para stock de bodega central UMAG Sol, 146142",Septiembre/2024,3526922
CORP ADMINISTRATIVA DEL PODER JUDICIAL,"Edificio Plaza Poniente, Calle Uno Poniente N°1258, Piso 10",Talca,Región del Maule ,"0,0",ADQUISICION DE PAPEL OFICIO PARA FOTOCOPIADORAS,Septiembre/2024,1315902
DIRECCION DE ABASTECIMIENTO DE LA ARMADA,Michimalongo s/n Las Canchas,Talcahuano,Región del Biobío ,"-36.6880231,-73.1144213",PAPEL FOTOCOPIA Orden de Compra: 3178-2942-CM24,Septiembre/2024,2909788
DIRECCION GENERAL DE GENDARMERIA DE CHIL,"O""higgins N°77 Poniente oficina 607",Concepción,Región del Biobío ,"0,0",CP BIO BIO ADQ. DE RESMAS DE OFICIO,Septiembre/2024,2753898
I MUNICIPALIDAD DE CHILLAN,,Chillán,Región del Ñuble,"-36.60600385,-72.10426068496827",RESMAS DE CARTA Y OFICIO PARA CONVENIO ESPACIOS AMIGABLES DEL CESFAM SAN RAMON NONATO compra ágil: 1069417-1082-COT24,Septiembre/2024,177894
